Year,Pitcher,League,Type,Wins,Win_pct,Saves,ERA,Strikeouts,Innings_pitched
1988.0,11,0,0,4.0,0.667,45.0,2.35,70.0,73.0
1986.0,18,1,1,21.0,0.6559999999999999,1.0,3.14,230.0,269.0
1992.0,28,0,1,21.0,0.778,1.0,4.04,132.0,241.0
1983.0,35,1,0,4.0,0.286,29.0,1.65,91.0,103.0
1991.0,57,1,1,20.0,0.655,1.0,2.55,192.0,247.0
1991.0,47,1,0,3.0,0.375,31.0,3.17,124.0,82.0
1989.0,39,1,1,20.0,0.667,1.0,3.1,172.0,229.0
1986.0,60,1,0,9.0,0.474,36.0,2.08,73.0,104.0
1982.0,6,1,0,9.0,0.529,36.0,2.9,61.0,102.0
1980.0,53,1,1,24.0,0.727,1.0,2.34,286.0,304.0
1984.0,61,0,0,9.0,0.75,35.0,1.92,120.0,140.0
1990.0,50,1,0,4.0,0.4,31.0,2.08,98.0,87.0
1986.0,9,0,0,6.0,0.462,34.0,2.98,67.0,82.0
1984.0,6,1,0,5.0,0.417,45.0,1.54,77.0,123.0
1986.0,46,0,1,24.0,0.857,1.0,2.48,238.0,254.0
1980.0,56,0,1,25.0,0.7809999999999999,1.0,3.23,149.0,251.0
1983.0,15,0,0,5.0,0.625,45.0,1.94,48.0,139.0
1982.0,34,0,1,19.0,0.5589999999999999,1.0,3.53,124.0,240.0
1992.0,22,1,1,20.0,0.645,1.0,2.18,199.0,268.0
1990.0,19,1,1,20.0,0.625,1.0,2.67,182.0,250.0
1987.0,54,1,1,17.0,0.607,1.0,4.39,123.0,230.0
1989.0,43,0,0,6.0,0.6,38.0,1.98,77.0,73.0
1989.0,4,0,1,23.0,0.7929999999999999,1.0,2.16,193.0,262.0
1982.0,21,0,0,4.0,0.444,30.0,2.23,102.0,93.0
1985.0,3,0,0,8.0,0.5329999999999999,32.0,2.13,32.0,58.0
1985.0,32,1,1,21.0,0.7240000000000001,1.0,1.93,169.0,275.0
1982.0,55,1,1,19.0,0.7040000000000001,1.0,2.4,179.0,277.0
1991.0,31,1,1,20.0,0.7140000000000001,1.0,3.08,129.0,208.0
1982.0,20,1,0,8.0,0.444,30.0,2.34,68.0,119.0
1989.0,22,1,1,19.0,0.613,1.0,2.95,135.0,238.0
1992.0,11,0,0,7.0,0.875,51.0,1.91,93.0,80.0
1984.0,15,0,0,6.0,0.667,44.0,2.64,41.0,129.0
1984.0,36,0,1,20.0,0.645,1.0,2.79,128.0,261.0
1991.0,2,0,0,2.0,0.3329999999999999,45.0,1.6,101.0,78.0
1980.0,38,0,1,22.0,0.71,1.0,2.54,180.0,284.0
1986.0,28,0,1,21.0,0.7240000000000001,1.0,3.27,223.0,267.0
1989.0,17,0,1,21.0,0.7,1.0,3.32,155.0,258.0
1985.0,35,1,0,7.0,0.636,33.0,3.04,112.0,98.0
1983.0,26,1,1,19.0,0.76,1.0,2.37,139.0,243.0
1990.0,10,1,1,22.0,0.7859999999999999,1.0,2.76,131.0,231.0
1985.0,30,1,0,2.0,0.2,41.0,3.18,67.0,88.0
1980.0,21,0,0,6.0,0.75,33.0,2.27,103.0,99.0
1987.0,30,0,0,8.0,0.5,31.0,4.48,83.0,80.0
1984.0,35,1,0,9.0,0.563,33.0,3.65,112.0,98.0
1983.0,0,1,0,8.0,0.667,25.0,2.26,100.0,92.0
1990.0,11,0,0,4.0,0.667,48.0,0.61,73.0,73.0
1984.0,25,1,1,20.0,0.588,1.0,3.34,147.0,261.0
1987.0,17,0,1,20.0,0.606,1.0,3.68,205.0,261.0
1982.0,44,0,1,18.0,0.75,1.0,3.34,105.0,224.0
1984.0,51,1,1,20.0,0.769,1.0,3.64,213.0,245.0
1980.0,59,1,0,9.0,0.474,25.0,2.56,68.0,137.0
1983.0,40,1,1,17.0,0.5670000000000001,1.0,2.7,242.0,274.0
1985.0,15,0,0,8.0,0.471,37.0,2.37,54.0,129.0
1982.0,53,1,1,23.0,0.6759999999999999,1.0,3.1,286.0,296.0
1990.0,8,0,1,27.0,0.818,1.0,2.95,127.0,238.0
1980.0,15,0,0,12.0,0.632,33.0,3.09,37.0,128.0
1990.0,7,0,0,4.0,0.4,57.0,1.83,70.0,89.0
1985.0,49,0,1,22.0,0.7859999999999999,1.0,3.27,143.0,259.0
